""	"ID"	"symbol"
"1"	"(+)E1A_r60_1"	""
"2"	"(+)E1A_r60_3"	""
"3"	"(+)E1A_r60_a104"	""
"4"	"(+)E1A_r60_a107"	""
"5"	"(+)E1A_r60_a135"	""
"6"	"(+)E1A_r60_a20"	""
"7"	"(+)E1A_r60_a22"	""
"8"	"(+)E1A_r60_a97"	""
"9"	"(+)E1A_r60_n11"	""
"10"	"(+)E1A_r60_n9"	""
"11"	"(-)3xSLv1"	""
"12"	"A_51_P100034"	"Mif4gd"
"13"	"A_51_P100174"	"Mns1"
"14"	"A_51_P100208"	"Opcml"
"15"	"A_51_P100289"	"Srf"
"16"	"A_51_P100298"	"Stx3"
"17"	"A_51_P100309"	"Oprm1"
"18"	"A_51_P100327"	"Tap1"
"19"	"A_51_P100347"	"Zfp407"
"20"	"A_51_P100519"	""
"21"	"A_51_P100537"	"Prss58"
"22"	"A_51_P100573"	"Map3k3"
"23"	"A_51_P100624"	"Krtap9-3"
"24"	"A_51_P100625"	"Apon"
"25"	"A_51_P100768"	""
"26"	"A_51_P100776"	"Zfp169"
"27"	"A_51_P100787"	"Snw1"
"28"	"A_51_P100828"	"Prdx3"
"29"	"A_51_P100852"	"Fam26f"
"30"	"A_51_P100991"	"Gucy2c"
"31"	"A_51_P100997"	"Serpinb3c"
"32"	"A_51_P101006"	"Ak8"
"33"	"A_51_P101075"	"1810031K17Rik"
"34"	"A_51_P101137"	"Samd14"
"35"	"A_51_P101196"	"Psme1"
"36"	"A_51_P101228"	"Gmeb2"
"37"	"A_51_P101375"	"St6gal1"
"38"	"A_51_P101460"	"Dsp"
"39"	"A_51_P101545"	"Hgfac"
"40"	"A_51_P101573"	"Klc4"
"41"	"A_51_P101635"	"Stub1"
"42"	"A_51_P101660"	"1200014J11Rik"
"43"	"A_51_P101765"	"Smarcd1"
"44"	"A_51_P101858"	"Dlg1"
"45"	"A_51_P101985"	"Ccdc85a"
"46"	"A_51_P102106"	"Olfr495"
"47"	"A_51_P102122"	"Myog"
"48"	"A_51_P102257"	"Tns1"
"49"	"A_51_P102311"	"Tyr"
"50"	"A_51_P102355"	"Zbtb41"
"51"	"A_51_P102393"	"Samd11"
"52"	"A_51_P102421"	"Clcf1"
"53"	"A_51_P102438"	"Ugt2b36"
"54"	"A_51_P102459"	"Jph3"
"55"	"A_51_P102503"	"Metap1"
"56"	"A_51_P102507"	"Vps33a"
"57"	"A_51_P102518"	"Tmem225"
"58"	"A_51_P102789"	"C1qc"
"59"	"A_51_P102860"	"Herpud2"
"60"	"A_51_P102883"	"Muc5ac"
"61"	"A_51_P102911"	"Hoxa11"
"62"	"A_51_P103054"	"Adamts19"
"63"	"A_51_P103209"	"Ttc7"
"64"	"A_51_P103222"	"Slc39a4"
"65"	"A_51_P103254"	"Flrt2"
"66"	"A_51_P103397"	"Vwf"
"67"	"A_51_P103499"	"Spesp1"
"68"	"A_51_P103509"	"Cyb561d2"
"69"	"A_51_P103541"	"Cacna1s"
"70"	"A_51_P103560"	"Gm16486"
"71"	"A_51_P103594"	"Fam162b"
"72"	"A_51_P103650"	"Trim8"
"73"	"A_51_P103706"	"Cyp2c29"
"74"	"A_51_P103718"	"Ip6k1"
"75"	"A_51_P103757"	"Myst1"
"76"	"A_51_P103780"	"Sft2d2"
"77"	"A_51_P103850"	"Fbn2"
"78"	"A_51_P103865"	"Ppp1r35"
"79"	"A_51_P103929"	"Met"
"80"	"A_51_P103975"	"Brp44"
"81"	"A_51_P104077"	"Usp13"
"82"	"A_51_P104125"	"Fam76b"
"83"	"A_51_P104172"	"Zfp128"
"84"	"A_51_P104392"	"Rpp25"
"85"	"A_51_P104418"	"Dusp10"
"86"	"A_51_P104430"	"Magee1"
"87"	"A_51_P104527"	"Atrip"
"88"	"A_51_P104569"	"Olfr148"
"89"	"A_51_P104608"	"Rnase6"
"90"	"A_51_P104681"	"Krtap16-8"
"91"	"A_51_P104687"	"Gh"
"92"	"A_51_P104710"	"Sspo"
"93"	"A_51_P104718"	"Gpr12"
"94"	"A_51_P104747"	"Gtf2h4"
"95"	"A_51_P104768"	""
"96"	"A_51_P104783"	"Rsph6a"
"97"	"A_51_P104820"	"Alkbh5"
"98"	"A_51_P104891"	"Ept1"
"99"	"A_51_P104897"	"Itpr3"
"100"	"A_51_P104933"	"Trub2"
"101"	"A_51_P104939"	"Klra5"
"102"	"A_51_P105017"	"Rad52"
"103"	"A_51_P105068"	"Lypd6b"
"104"	"A_51_P105124"	"P2ry6"
"105"	"A_51_P105161"	"Cpne4"
"106"	"A_51_P105263"	"Nat14"
"107"	"A_51_P105380"	"2010005H15Rik"
"108"	"A_51_P105408"	"Alg14"
"109"	"A_51_P105520"	"Nomo1"
"110"	"A_51_P105589"	"Eci1"
"111"	"A_51_P105709"	"Trip13"
"112"	"A_51_P105847"	"Col6a6"
"113"	"A_51_P105887"	"Lax1"
"114"	"A_51_P105927"	"Rasl12"
"115"	"A_51_P106059"	"Traf4"
"116"	"A_51_P106144"	"Zfp64"
"117"	"A_51_P106249"	"Cmtm2b"
"118"	"A_51_P106259"	"Camk1"
"119"	"A_51_P106397"	"Prkd3"
"120"	"A_51_P106428"	"Nsmce4a"
"121"	"A_51_P106455"	"Nr0b1"
"122"	"A_51_P106488"	"Speg"
"123"	"A_51_P106527"	"Fam195a"
"124"	"A_51_P106591"	"Celf3"
"125"	"A_51_P106752"	"Rnmt"
"126"	"A_51_P106799"	"Pparg"
"127"	"A_51_P106859"	"Lsm10"
"128"	"A_51_P106952"	"Rbm26"
"129"	"A_51_P107020"	"Kif5a"
"130"	"A_51_P107053"	"Ubqln3"
"131"	"A_51_P107090"	"BC031181"
"132"	"A_51_P107176"	"4930443G12Rik"
"133"	"A_51_P107234"	"Abcf1"
"134"	"A_51_P107315"	"Slc5a8"
"135"	"A_51_P107362"	"Socs2"
"136"	"A_51_P107433"	"Mrpl34"
"137"	"A_51_P107722"	""
"138"	"A_51_P107782"	"Kdsr"
"139"	"A_51_P107807"	"Olfr586"
"140"	"A_51_P107808"	"Ttc19"
"141"	"A_51_P107938"	"Ubr1"
"142"	"A_51_P107959"	""
"143"	"A_51_P108020"	"Zmynd15"
"144"	"A_51_P108108"	"Lrrc25"
"145"	"A_51_P108183"	"Tnmd"
"146"	"A_51_P108190"	"Rpl23"
"147"	"A_51_P108226"	"1100001G20Rik"
"148"	"A_51_P108228"	"Chrna7"
"149"	"A_51_P108252"	"Gpsm2"
"150"	"A_51_P108266"	"Actn2"
"151"	"A_51_P108309"	"Olfr1494"
"152"	"A_51_P108334"	"Slc25a4"
"153"	"A_51_P108384"	"4930441O14Rik"
"154"	"A_51_P108459"	"Gpr65"
"155"	"A_51_P108489"	"Gtl3"
"156"	"A_51_P108581"	"Adrbk2"
"157"	"A_51_P108629"	"Prl3b1"
"158"	"A_51_P108659"	"Pon1"
"159"	"A_51_P108741"	"4931409K22Rik"
"160"	"A_51_P108853"	"Lyplal1"
"161"	"A_51_P108862"	"Cops7a"
"162"	"A_51_P108901"	"Ccdc86"
"163"	"A_51_P108935"	"Iars2"
"164"	"A_51_P108973"	"4931414P19Rik"
"165"	"A_51_P108978"	"Myadm"
"166"	"A_51_P109050"	"Paqr4"
"167"	"A_51_P109097"	"Olfr109"
"168"	"A_51_P109144"	"Grtp1"
"169"	"A_51_P109171"	"Os9"
"170"	"A_51_P109258"	"Cys1"
"171"	"A_51_P109274"	"Vmn1r233"
"172"	"A_51_P109295"	"Pcdhb3"
"173"	"A_51_P109335"	"Copa"
"174"	"A_51_P109369"	"Fbxo32"
"175"	"A_51_P109421"	"Eif2d"
"176"	"A_51_P109428"	"Bhlhe23"
"177"	"A_51_P109449"	"Ltb4r1"
"178"	"A_51_P109541"	"E130308A19Rik"
"179"	"A_51_P109570"	"Klrb1b"
"180"	"A_51_P109708"	"Olfr687"
"181"	"A_51_P109835"	"Uqcrc1"
"182"	"A_51_P109840"	"Vtn"
"183"	"A_51_P109881"	""
"184"	"A_51_P109888"	"Coro1b"
"185"	"A_51_P109939"	"Apoa1bp"
"186"	"A_51_P110035"	"Pik3r4"
"187"	"A_51_P110081"	"Dmrta2"
"188"	"A_51_P110108"	"Vmn1r25"
"189"	"A_51_P110189"	"Ttyh2"
"190"	"A_51_P110301"	"C3"
"191"	"A_51_P110341"	"Scgb3a1"
"192"	"A_51_P110371"	"Wwox"
"193"	"A_51_P110381"	"Cd207"
