""	"ID"	"Symbol"	"COL"	"ROW"	"NAME"
"1"	"TC01000001.hg.1"	"DDX11L1"	"NA"	"NA"	"NR_046018"
"2"	"TC01000002.hg.1"	"MIR1302-11"	"NA"	"NA"	"ENST00000408384"
"3"	"TC01000003.hg.1"	"OR4F5"	"NA"	"NA"	"NM_001005484"
"4"	"TC01000004.hg.1"	"OTTHUMG00000002525"	"NA"	"NA"	"OTTHUMT00000007169"
"5"	"TC01000005.hg.1"	"LOC100132287"	"NA"	"NA"	"NR_028322"
"6"	"TC01000006.hg.1"	"NA"	"NA"	"NA"	"---"
"7"	"TC01000007.hg.1"	"NA"	"NA"	"NA"	"---"
"8"	"TC01000008.hg.1"	"LOC101060495"	"NA"	"NA"	"ENST00000455464"
"9"	"TC01000009.hg.1"	"OR4F29"	"NA"	"NA"	"NM_001005221"
"10"	"TC01000010.hg.1"	"NA"	"NA"	"NA"	"---"
"11"	"TC01000011.hg.1"	"OTTHUMG00000156971"	"NA"	"NA"	"OTTHUMT00000346905"
"12"	"TC01000012.hg.1"	"OTTHUMG00000002330"	"NA"	"NA"	"OTTHUMT00000006709"
"13"	"TC01000013.hg.1"	"NA"	"NA"	"NA"	"---"
"14"	"TC01000014.hg.1"	"OTTHUMG00000002408"	"NA"	"NA"	"OTTHUMT00000006891"
"15"	"TC01000015.hg.1"	"LOC100287934"	"NA"	"NA"	"ENST00000412115"
"16"	"TC01000016.hg.1"	"LOC100287934"	"NA"	"NA"	"ENST00000358533"
"17"	"TC01000017.hg.1"	"FAM87B"	"NA"	"NA"	"ENST00000326734"
"18"	"TC01000018.hg.1"	"LOC643837"	"NA"	"NA"	"NR_015368"
"19"	"TC01000019.hg.1"	"LOC284600"	"NA"	"NA"	"ENST00000448179"
"20"	"TC01000020.hg.1"	"SAMD11"	"NA"	"NA"	"NM_152486"
"21"	"TC01000021.hg.1"	"KLHL17"	"NA"	"NA"	"NM_198317"
"22"	"TC01000022.hg.1"	"PLEKHN1"	"NA"	"NA"	"NM_001160184"
"23"	"TC01000023.hg.1"	"ISG15"	"NA"	"NA"	"NM_005101"
"24"	"TC01000024.hg.1"	"AGRN"	"NA"	"NA"	"NM_198576"
"25"	"TC01000025.hg.1"	"NA"	"NA"	"NA"	"---"
"26"	"TC01000026.hg.1"	"LOC254099"	"NA"	"NA"	"NR_038869"
"27"	"TC01000027.hg.1"	"MIR200B"	"NA"	"NA"	"NR_029639"
"28"	"TC01000028.hg.1"	"MIR200A"	"NA"	"NA"	"NR_029834"
"29"	"TC01000029.hg.1"	"MIR429"	"NA"	"NA"	"NR_029957"
"30"	"TC01000030.hg.1"	"TTLL10"	"NA"	"NA"	"NM_001130045"
"31"	"TC01000031.hg.1"	"B3GALT6"	"NA"	"NA"	"NM_080605"
"32"	"TC01000032.hg.1"	"SCNN1D"	"NA"	"NA"	"NM_001130413"
"33"	"TC01000033.hg.1"	"PUSL1"	"NA"	"NA"	"NM_153339"
"34"	"TC01000034.hg.1"	"GLTPD1"	"NA"	"NA"	"NM_001029885"
"35"	"TC01000035.hg.1"	"TAS1R3"	"NA"	"NA"	"NM_152228"
"36"	"TC01000036.hg.1"	"LOC148413"	"NA"	"NA"	"NR_015434"
"37"	"TC01000037.hg.1"	"OTTHUMG00000002912"	"NA"	"NA"	"OTTHUMT00000008135"
"38"	"TC01000038.hg.1"	"TMEM88B"	"NA"	"NA"	"NM_001146685"
"39"	"TC01000039.hg.1"	"NA"	"NA"	"NA"	"---"
"40"	"TC01000040.hg.1"	"VWA1"	"NA"	"NA"	"NM_199121"
"41"	"TC01000041.hg.1"	"ATAD3C"	"NA"	"NA"	"NM_001039211"
"42"	"TC01000042.hg.1"	"ATAD3B"	"NA"	"NA"	"NM_031921"
"43"	"TC01000043.hg.1"	"ATAD3A"	"NA"	"NA"	"NM_001170536"
"44"	"TC01000044.hg.1"	"NA"	"NA"	"NA"	"---"
"45"	"TC01000045.hg.1"	"NA"	"NA"	"NA"	"---"
"46"	"TC01000046.hg.1"	"MIB2"	"NA"	"NA"	"NM_080875"
"47"	"TC01000047.hg.1"	"MMP23B"	"NA"	"NA"	"NM_006983"
"48"	"TC01000048.hg.1"	"NA"	"NA"	"NA"	"---"
"49"	"TC01000049.hg.1"	"OTTHUMG00000000825"	"NA"	"NA"	"OTTHUMT00000002211"
"50"	"TC01000050.hg.1"	"OTTHUMG00000000825"	"NA"	"NA"	"OTTHUMT00000100213"
"51"	"TC01000051.hg.1"	"OTTHUMG00000000941"	"NA"	"NA"	"OTTHUMT00000002766"
"52"	"TC01000052.hg.1"	"CALML6"	"NA"	"NA"	"NM_138705"
"53"	"TC01000053.hg.1"	"GABRD"	"NA"	"NA"	"NM_000815"
"54"	"TC01000054.hg.1"	"PRKCZ"	"NA"	"NA"	"NM_002744"
"55"	"TC01000055.hg.1"	"NA"	"NA"	"NA"	"---"
"56"	"TC01000056.hg.1"	"NA"	"NA"	"NA"	"---"
"57"	"TC01000057.hg.1"	"SKI"	"NA"	"NA"	"NM_003036"
"58"	"TC01000058.hg.1"	"RER1"	"NA"	"NA"	"NM_007033"
"59"	"TC01000059.hg.1"	"NA"	"NA"	"NA"	"---"
"60"	"TC01000060.hg.1"	"PLCH2"	"NA"	"NA"	"NM_014638"
"61"	"TC01000061.hg.1"	"TNFRSF14"	"NA"	"NA"	"NM_003820"
"62"	"TC01000062.hg.1"	"OTTHUMG00000158429"	"NA"	"NA"	"OTTHUMT00000350999"
"63"	"TC01000063.hg.1"	"LOC100996583"	"NA"	"NA"	"ENST00000424215"
"64"	"TC01000064.hg.1"	"FAM213B"	"NA"	"NA"	"NM_001195736"
"65"	"TC01000065.hg.1"	"OTTHUMG00000039631"	"NA"	"NA"	"OTTHUMT00000095593"
"66"	"TC01000066.hg.1"	"ACTRT2"	"NA"	"NA"	"NM_080431"
"67"	"TC01000067.hg.1"	"PRDM16"	"NA"	"NA"	"NM_022114"
"68"	"TC01000068.hg.1"	"MIR4251"	"NA"	"NA"	"NR_036215"
"69"	"TC01000069.hg.1"	"ARHGEF16"	"NA"	"NA"	"NM_014448"
"70"	"TC01000070.hg.1"	"TPRG1L"	"NA"	"NA"	"NM_182752"
"71"	"TC01000071.hg.1"	"TP73"	"NA"	"NA"	"NM_001126240"
"72"	"TC01000072.hg.1"	"CCDC27"	"NA"	"NA"	"NM_152492"
"73"	"TC01000073.hg.1"	"SMIM1"	"NA"	"NA"	"NM_001163724"
"74"	"TC01000074.hg.1"	"DFFB"	"NA"	"NA"	"NM_004402"
"75"	"TC01000075.hg.1"	"LOC100133612"	"NA"	"NA"	"NR_024455"
"76"	"TC01000076.hg.1"	"LOC728716"	"NA"	"NA"	"NR_040065"
"77"	"TC01000077.hg.1"	"LOC284661"	"NA"	"NA"	"NR_027088"
"78"	"TC01000078.hg.1"	"OTTHUMG00000000646"	"NA"	"NA"	"OTTHUMT00000001544"
"79"	"TC01000079.hg.1"	"OTTHUMG00000000647"	"NA"	"NA"	"OTTHUMT00000001545"
"80"	"TC01000080.hg.1"	"AJAP1"	"NA"	"NA"	"NM_001042478"
"81"	"TC01000081.hg.1"	"NA"	"NA"	"NA"	"---"
"82"	"TC01000082.hg.1"	"MIR4417"	"NA"	"NA"	"NR_039612"
"83"	"TC01000083.hg.1"	"NA"	"NA"	"NA"	"---"
"84"	"TC01000084.hg.1"	"KCNAB2"	"NA"	"NA"	"NM_001199860"
"85"	"TC01000085.hg.1"	"RNF207"	"NA"	"NA"	"NM_207396"
"86"	"TC01000086.hg.1"	"LINC00337"	"NA"	"NA"	"ENST00000429480"
"87"	"TC01000087.hg.1"	"HES3"	"NA"	"NA"	"NM_001024598"
"88"	"TC01000088.hg.1"	"ESPN"	"NA"	"NA"	"NM_031475"
"89"	"TC01000089.hg.1"	"NA"	"NA"	"NA"	"---"
"90"	"TC01000090.hg.1"	"TAS1R1"	"NA"	"NA"	"NM_138697"
"91"	"TC01000091.hg.1"	"ZBTB48"	"NA"	"NA"	"NM_005341"
"92"	"TC01000092.hg.1"	"PHF13"	"NA"	"NA"	"NM_153812"
"93"	"TC01000093.hg.1"	"THAP3"	"NA"	"NA"	"NM_001195752"
"94"	"TC01000094.hg.1"	"LOC100505887"	"NA"	"NA"	"ENST00000414210"
"95"	"TC01000095.hg.1"	"NA"	"NA"	"NA"	"---"
"96"	"TC01000096.hg.1"	"CAMTA1"	"NA"	"NA"	"NM_001195563"
"97"	"TC01000097.hg.1"	"NA"	"NA"	"NA"	"---"
"98"	"TC01000098.hg.1"	"CAMTA1-IT1"	"NA"	"NA"	"ENST00000427317"
"99"	"TC01000099.hg.1"	"VAMP3"	"NA"	"NA"	"NM_004781"
"100"	"TC01000100.hg.1"	"PER3"	"NA"	"NA"	"NM_016831"
"101"	"TC01000101.hg.1"	"PARK7"	"NA"	"NA"	"NM_001123377"
"102"	"TC01000102.hg.1"	"OTTHUMG00000001766"	"NA"	"NA"	"OTTHUMT00000004926"
