ID	ORF	GenBank	CLONE_ID	SPOT_ID
5S_rRNA				5S_rRNA
7SK	7SK			
A1BG	A1BG			
A1BG-AS1	A1BG-AS1			
A1CF	A1CF			
A2M	A2M			
A2M-AS1	A2M-AS1			
A2ML1	A2ML1			
A2ML1-AS2	A2ML1-AS2			
A2MP1	A2MP1			
A3GALT2	A3GALT2			
A4GALT	A4GALT			
A4GNT	A4GNT			
AA06	AA06			
AAAS	AAAS			
AACS	AACS			
AACSP1	AACSP1			
AADAC	AADAC			
AADACL2	AADACL2			
AADACL2-AS1	AADACL2-AS1			
AADACL3	AADACL3			
AADACL4	AADACL4			
AADACP1	AADACP1			
AADAT	AADAT			
AAED1	AAED1			
AAGAB	AAGAB			
AAK1	AAK1			
AAMDC	AAMDC			
AAMP	AAMP			
AANAT	AANAT			
AAR2	AAR2			
AARD	AARD			
AARS	AARS			
AARS2	AARS2			
AARSD1	AARSD1			
AARSP1	AARSP1			
AASDH	AASDH			
AASDHPPT	AASDHPPT			
AASS	AASS			
AATBC	AATBC			
AATF	AATF			
AATK	AATK			
AATK-AS1	AATK-AS1			
AB019440.50	AB019440.50			
AB019441.29	AB019441.29			
ABALON	ABALON			
ABAT	ABAT			
ABBA01017803.1				ABBA01017803.1
ABC12-47964100C23.1			ABC12-47964100C23.1	
ABC12-49244600F4.4			ABC12-49244600F4.4	
ABC7-42418200C9.1			ABC7-42418200C9.1	
ABCA1	ABCA1			
ABCA10	ABCA10			
ABCA11P	ABCA11P			
ABCA12	ABCA12			
ABCA13	ABCA13			
ABCA17P	ABCA17P			
ABCA2	ABCA2			
ABCA3	ABCA3			
ABCA4	ABCA4			
ABCA5	ABCA5			
ABCA6	ABCA6			
ABCA7	ABCA7			
ABCA8	ABCA8			
ABCA9	ABCA9			
ABCB1	ABCB1			
ABCB10	ABCB10			
ABCB10P1	ABCB10P1			
ABCB10P4	ABCB10P4			
ABCB11	ABCB11			
ABCB4	ABCB4			
ABCB5	ABCB5			
ABCB6	ABCB6			
ABCB7	ABCB7			
ABCB8	ABCB8			
ABCB9	ABCB9			
ABCC1	ABCC1			
ABCC10	ABCC10			
ABCC11	ABCC11			
ABCC12	ABCC12			
ABCC13	ABCC13			
ABCC2	ABCC2			
ABCC3	ABCC3			
ABCC4	ABCC4			
ABCC5	ABCC5			
ABCC5-AS1	ABCC5-AS1			
ABCC6	ABCC6			
ABCC6P1	ABCC6P1			
