""	"probe_id"	"symbol"
"423792"	"ILMN_1343289"	"RPS9"
"423793"	"ILMN_1343290"	"UBC"
"423794"	"ILMN_1343291"	"EEF1A1"
"423795"	"ILMN_1343292"	"TUBB2A"
"423796"	"ILMN_1343293"	"TXN"
"423797"	"ILMN_1343294"	"ACTB"
"423798"	"ILMN_1343295"	"GAPDH"
"423799"	"ILMN_1651209"	"SLC35E2A"
"423800"	"ILMN_1651217"	"PDCD1LG2"
"423801"	"ILMN_1651221"	"EFCAB1"
"423802"	"ILMN_1651228"	"RPS28"
"423803"	"ILMN_1651229"	"IPO13"
"423804"	"ILMN_1651232"	"FAM86FP"
"423805"	"ILMN_1651234"	"SYT14"
"423806"	"ILMN_1651235"	"AFAP1"
"423807"	"ILMN_1651237"	"CDT1"
"423808"	"ILMN_1651238"	"TRPV1"
"423809"	"ILMN_1651249"	"PDE4DIP"
"423810"	"ILMN_1651253"	"WIPF3"
"423811"	"ILMN_1651254"	"LPP"
"423812"	"ILMN_1651259"	"UGP2"
"423813"	"ILMN_1651260"	"CCNE2"
"423814"	"ILMN_1651261"	"RSU1"
"423815"	"ILMN_1651262"	"HNRNPAB"
"423816"	"ILMN_1651268"	"BORCS5"
"423817"	"ILMN_1651278"	"SNIP1"
"423818"	"ILMN_1651281"	"C8orf89"
"423819"	"ILMN_1651282"	"COL17A1"
"423820"	"ILMN_1651286"	"GRHL1"
"423821"	"ILMN_1651295"	"SULT1C2P1"
"423822"	"ILMN_1651298"	"RAD17"
"423823"	"ILMN_1651303"	"ATP13A4"
"423824"	"ILMN_1651310"	"AFDN"
"423825"	"ILMN_1651316"	"CD69"
"423826"	"ILMN_1651330"	"KCNG4"
"423827"	"ILMN_1651336"	"MLYCD"
"423828"	"ILMN_1651339"	"UHRF1BP1L"
"423829"	"ILMN_1651341"	"NOC2LP2"
"423830"	"ILMN_1651343"	"ITGA11"
"423831"	"ILMN_1651349"	"CD86"
"423832"	"ILMN_1651354"	"SPP1"
"423833"	"ILMN_1651358"	"HBE1"
"423834"	"ILMN_1651369"	"TMA7"
"423835"	"ILMN_1651370"	"USP21"
"423836"	"ILMN_1651373"	"RHD"
"423837"	"ILMN_1651375"	"BICD2"
"423838"	"ILMN_1651378"	"AUP1"
"423839"	"ILMN_1651385"	"MFN2"
"423840"	"ILMN_1651395"	"TIGD1"
"423841"	"ILMN_1651396"	"ABCA9"
"423842"	"ILMN_1651399"	"CUL5"
"423843"	"ILMN_1651404"	"LILRA6"
"423844"	"ILMN_1651405"	"BRD9"
"423845"	"ILMN_1651406"	"PPP1R14B"
"423846"	"ILMN_1651415"	"DERL3"
"423847"	"ILMN_1651428"	"SYTL2"
"423848"	"ILMN_1651429"	"SELENOM"
"423849"	"ILMN_1651430"	"CTRB2"
"423850"	"ILMN_1651433"	"DCK"
"423851"	"ILMN_1651436"	"PAIP1"
"423852"	"ILMN_1651437"	"FOXI1"
"423853"	"ILMN_1651438"	"ZFPM1"
"423854"	"ILMN_1651445"	"LIPT1"
"423855"	"ILMN_1651453"	"RNF224"
"423856"	"ILMN_1651456"	"UTY"
"423857"	"ILMN_1651457"	"GPR32"
"423858"	"ILMN_1651461"	"JPT1"
"423859"	"ILMN_1651464"	"KDM2B"
"423860"	"ILMN_1651477"	"ZCCHC9"
"423861"	"ILMN_1651478"	"MEST"
"423862"	"ILMN_1651486"	"COX11"
"423863"	"ILMN_1651490"	"CYP26A1"
"423864"	"ILMN_1651492"	"WNT2B"
